flight_id,user_id,class,seat,number,qr_code_link
16,64,premium economy,1A,TKT-16-64,https://example.com/qr/16/64
90,71,economy,1A,TKT-90-71,https://example.com/qr/90/71
34,72,economy,1A,TKT-34-72,https://example.com/qr/34/72
76,73,economy,1A,TKT-76-73,https://example.com/qr/76/73
80,74,economy,1A,TKT-80-74,https://example.com/qr/80/74
53,75,premium economy,1A,TKT-53-75,https://example.com/qr/53/75
89,76,business,1A,TKT-89-76,https://example.com/qr/89/76
20,77,business,1A,TKT-20-77,https://example.com/qr/20/77
1,78,premium economy,1A,TKT-1-78,https://example.com/qr/1/78
39,79,first,1A,TKT-39-79,https://example.com/qr/39/79
36,80,economy,1A,TKT-36-80,https://example.com/qr/36/80
4,81,economy,1A,TKT-4-81,https://example.com/qr/4/81
85,82,premium economy,1A,TKT-85-82,https://example.com/qr/85/82
82,83,first,1A,TKT-82-83,https://example.com/qr/82/83
23,84,business,1A,TKT-23-84,https://example.com/qr/23/84
76,85,first,1B,TKT-76-85,https://example.com/qr/76/85
97,86,business,1A,TKT-97-86,https://example.com/qr/97/86
22,87,premium economy,1A,TKT-22-87,https://example.com/qr/22/87
15,88,business,1A,TKT-15-88,https://example.com/qr/15/88
13,89,first,1A,TKT-13-89,https://example.com/qr/13/89
59,90,economy,1A,TKT-59-90,https://example.com/qr/59/90
69,91,business,1A,TKT-69-91,https://example.com/qr/69/91
2,92,premium economy,1A,TKT-2-92,https://example.com/qr/2/92
19,93,business,1A,TKT-19-93,https://example.com/qr/19/93
90,94,business,1B,TKT-90-94,https://example.com/qr/90/94
81,95,first,1A,TKT-81-95,https://example.com/qr/81/95
100,96,first,1A,TKT-100-96,https://example.com/qr/100/96
5,97,business,1A,TKT-5-97,https://example.com/qr/5/97
12,98,business,1A,TKT-12-98,https://example.com/qr/12/98
18,99,business,1A,TKT-18-99,https://example.com/qr/18/99
30,100,economy,1A,TKT-30-100,https://example.com/qr/30/100
97,101,business,1B,TKT-97-101,https://example.com/qr/97/101
94,102,economy,1A,TKT-94-102,https://example.com/qr/94/102
70,103,business,1A,TKT-70-103,https://example.com/qr/70/103
26,104,business,1A,TKT-26-104,https://example.com/qr/26/104
53,105,economy,1B,TKT-53-105,https://example.com/qr/53/105
8,106,business,1A,TKT-8-106,https://example.com/qr/8/106
7,107,business,1A,TKT-7-107,https://example.com/qr/7/107
88,108,premium economy,1A,TKT-88-108,https://example.com/qr/88/108
25,109,first,1A,TKT-25-109,https://example.com/qr/25/109
93,110,first,1A,TKT-93-110,https://example.com/qr/93/110
75,111,business,1A,TKT-75-111,https://example.com/qr/75/111
1,112,business,1B,TKT-1-112,https://example.com/qr/1/112
36,113,first,1B,TKT-36-113,https://example.com/qr/36/113
64,114,economy,1A,TKT-64-114,https://example.com/qr/64/114
33,115,first,1A,TKT-33-115,https://example.com/qr/33/115
98,116,economy,1A,TKT-98-116,https://example.com/qr/98/116
94,117,premium economy,1B,TKT-94-117,https://example.com/qr/94/117
83,118,premium economy,1A,TKT-83-118,https://example.com/qr/83/118
4,119,first,1B,TKT-4-119,https://example.com/qr/4/119
24,120,first,1A,TKT-24-120,https://example.com/qr/24/120
72,121,economy,1A,TKT-72-121,https://example.com/qr/72/121
12,122,first,1B,TKT-12-122,https://example.com/qr/12/122
64,123,economy,1B,TKT-64-123,https://example.com/qr/64/123
39,124,economy,1B,TKT-39-124,https://example.com/qr/39/124
48,125,business,1A,TKT-48-125,https://example.com/qr/48/125
16,126,first,1B,TKT-16-126,https://example.com/qr/16/126
45,127,business,1A,TKT-45-127,https://example.com/qr/45/127
68,128,premium economy,1A,TKT-68-128,https://example.com/qr/68/128
96,129,economy,1A,TKT-96-129,https://example.com/qr/96/129
16,130,premium economy,1C,TKT-16-130,https://example.com/qr/16/130
71,131,business,1A,TKT-71-131,https://example.com/qr/71/131
77,132,premium economy,1A,TKT-77-132,https://example.com/qr/77/132
5,133,economy,1B,TKT-5-133,https://example.com/qr/5/133
21,134,economy,1A,TKT-21-134,https://example.com/qr/21/134
69,135,business,1B,TKT-69-135,https://example.com/qr/69/135
69,136,premium economy,1C,TKT-69-136,https://example.com/qr/69/136
51,137,premium economy,1A,TKT-51-137,https://example.com/qr/51/137
19,138,premium economy,1B,TKT-19-138,https://example.com/qr/19/138
78,139,premium economy,1A,TKT-78-139,https://example.com/qr/78/139
13,140,business,1B,TKT-13-140,https://example.com/qr/13/140
54,141,premium economy,1A,TKT-54-141,https://example.com/qr/54/141
10,142,premium economy,1A,TKT-10-142,https://example.com/qr/10/142
16,143,economy,1D,TKT-16-143,https://example.com/qr/16/143
61,144,economy,1A,TKT-61-144,https://example.com/qr/61/144
27,145,premium economy,1A,TKT-27-145,https://example.com/qr/27/145
22,146,economy,1B,TKT-22-146,https://example.com/qr/22/146
31,147,first,1A,TKT-31-147,https://example.com/qr/31/147
36,148,economy,1C,TKT-36-148,https://example.com/qr/36/148
12,149,premium economy,1C,TKT-12-149,https://example.com/qr/12/149
21,150,business,1B,TKT-21-150,https://example.com/qr/21/150
100,151,business,1B,TKT-100-151,https://example.com/qr/100/151
90,152,business,1C,TKT-90-152,https://example.com/qr/90/152
30,153,economy,1B,TKT-30-153,https://example.com/qr/30/153
41,154,first,1A,TKT-41-154,https://example.com/qr/41/154
40,155,economy,1A,TKT-40-155,https://example.com/qr/40/155
89,156,business,1B,TKT-89-156,https://example.com/qr/89/156
26,157,economy,1B,TKT-26-157,https://example.com/qr/26/157
11,158,economy,1A,TKT-11-158,https://example.com/qr/11/158
65,159,premium economy,1A,TKT-65-159,https://example.com/qr/65/159
97,160,premium economy,1C,TKT-97-160,https://example.com/qr/97/160
87,161,first,1A,TKT-87-161,https://example.com/qr/87/161
38,162,first,1A,TKT-38-162,https://example.com/qr/38/162
17,163,premium economy,1A,TKT-17-163,https://example.com/qr/17/163
72,164,economy,1B,TKT-72-164,https://example.com/qr/72/164
6,165,economy,1A,TKT-6-165,https://example.com/qr/6/165
92,166,business,1A,TKT-92-166,https://example.com/qr/92/166
76,167,economy,1C,TKT-76-167,https://example.com/qr/76/167
29,168,premium economy,1A,TKT-29-168,https://example.com/qr/29/168
10,169,first,1B,TKT-10-169,https://example.com/qr/10/169
34,170,premium economy,1B,TKT-34-170,https://example.com/qr/34/170
30,171,business,1C,TKT-30-171,https://example.com/qr/30/171
48,172,economy,1B,TKT-48-172,https://example.com/qr/48/172
52,173,business,1A,TKT-52-173,https://example.com/qr/52/173
1,174,first,1C,TKT-1-174,https://example.com/qr/1/174
81,175,first,1B,TKT-81-175,https://example.com/qr/81/175
97,176,business,1D,TKT-97-176,https://example.com/qr/97/176
26,177,economy,1C,TKT-26-177,https://example.com/qr/26/177
48,178,business,1C,TKT-48-178,https://example.com/qr/48/178
38,179,premium economy,1B,TKT-38-179,https://example.com/qr/38/179
12,180,economy,1D,TKT-12-180,https://example.com/qr/12/180
97,181,business,1E,TKT-97-181,https://example.com/qr/97/181
74,182,premium economy,1A,TKT-74-182,https://example.com/qr/74/182
54,183,business,1B,TKT-54-183,https://example.com/qr/54/183
73,184,first,1A,TKT-73-184,https://example.com/qr/73/184
6,185,business,1B,TKT-6-185,https://example.com/qr/6/185
25,186,premium economy,1B,TKT-25-186,https://example.com/qr/25/186
26,187,premium economy,1D,TKT-26-187,https://example.com/qr/26/187
49,188,first,1A,TKT-49-188,https://example.com/qr/49/188
42,189,first,1A,TKT-42-189,https://example.com/qr/42/189
51,190,first,1B,TKT-51-190,https://example.com/qr/51/190
48,191,premium economy,1D,TKT-48-191,https://example.com/qr/48/191
78,192,economy,1B,TKT-78-192,https://example.com/qr/78/192
57,193,first,1A,TKT-57-193,https://example.com/qr/57/193
83,194,economy,1B,TKT-83-194,https://example.com/qr/83/194
91,195,first,1A,TKT-91-195,https://example.com/qr/91/195
71,196,economy,1B,TKT-71-196,https://example.com/qr/71/196
98,197,economy,1B,TKT-98-197,https://example.com/qr/98/197
92,198,economy,1B,TKT-92-198,https://example.com/qr/92/198
60,199,business,1A,TKT-60-199,https://example.com/qr/60/199
77,200,premium economy,1B,TKT-77-200,https://example.com/qr/77/200
50,201,premium economy,1A,TKT-50-201,https://example.com/qr/50/201
94,202,business,1C,TKT-94-202,https://example.com/qr/94/202
5,203,premium economy,1C,TKT-5-203,https://example.com/qr/5/203
53,204,premium economy,1C,TKT-53-204,https://example.com/qr/53/204
61,205,first,1B,TKT-61-205,https://example.com/qr/61/205
32,206,business,1A,TKT-32-206,https://example.com/qr/32/206
3,207,economy,1A,TKT-3-207,https://example.com/qr/3/207
100,208,premium economy,1C,TKT-100-208,https://example.com/qr/100/208
61,209,business,1C,TKT-61-209,https://example.com/qr/61/209
23,210,first,1B,TKT-23-210,https://example.com/qr/23/210
81,211,premium economy,1C,TKT-81-211,https://example.com/qr/81/211
67,212,premium economy,1A,TKT-67-212,https://example.com/qr/67/212
26,213,economy,1E,TKT-26-213,https://example.com/qr/26/213
66,214,economy,1A,TKT-66-214,https://example.com/qr/66/214
98,215,economy,1C,TKT-98-215,https://example.com/qr/98/215
8,216,business,1B,TKT-8-216,https://example.com/qr/8/216
54,217,first,1C,TKT-54-217,https://example.com/qr/54/217
56,218,first,1A,TKT-56-218,https://example.com/qr/56/218
53,219,premium economy,1D,TKT-53-219,https://example.com/qr/53/219
60,220,first,1B,TKT-60-220,https://example.com/qr/60/220
22,221,first,1C,TKT-22-221,https://example.com/qr/22/221
70,222,first,1B,TKT-70-222,https://example.com/qr/70/222
35,223,premium economy,1A,TKT-35-223,https://example.com/qr/35/223
26,224,first,1F,TKT-26-224,https://example.com/qr/26/224
65,225,first,1B,TKT-65-225,https://example.com/qr/65/225
30,226,business,1D,TKT-30-226,https://example.com/qr/30/226
76,227,economy,1D,TKT-76-227,https://example.com/qr/76/227
77,228,first,1C,TKT-77-228,https://example.com/qr/77/228
91,229,business,1B,TKT-91-229,https://example.com/qr/91/229
61,230,premium economy,1D,TKT-61-230,https://example.com/qr/61/230
34,231,first,1C,TKT-34-231,https://example.com/qr/34/231
80,232,first,1B,TKT-80-232,https://example.com/qr/80/232
29,233,economy,1B,TKT-29-233,https://example.com/qr/29/233
